state,views,likes,dislikes,video_id
Nagaland,800646422.5,14371242.0,1013461.0,1196
Andhra Pradesh,798131395.0,14046903.0,995563.0,1169
Andaman And Nicobar,784698598.0,13998578.0,1007531.0,1177
Haryana,782323513.0,13093988.0,1002932.0,1206
Madhya Pradesh,773158038.5,13500117.0,1003096.0,1196
Sikkim,757420830.0,14361204.0,986327.0,1188
Tamil Nadu,751268491.5,12796265.0,906749.0,1107
Chandigarh,745968551.0,13491227.0,944156.0,1185
Delhi,733113783.0,12322306.0,908387.0,1116
Goa,733063612.5,13479708.0,945683.0,1209
Uttaranchal,731676623.5,12548270.0,906009.0,1157
Uttar Pradesh,730106012.0,12512364.0,902659.0,1187
